closing_broker,dealteam_portfolio_id_lookup,originator_id_lookup,date,closer,deal_team_portfolio,originator,deal_team,rsa,company,lender_success,type,facility_type,facility_size,lender,invoice_amount,success_fee,lead_source,campaign,partner_introducer,sector,fbx_funding_bay,paid_partner,month,year,quarter,week,deal_count,month_1,close_lead_id
,,,15/01/2018,Sam Sandhu,,Sam Sandhu,False,False,Anerley Windows Limited,Lender,New Business,Business Loan (Unsecured),"£20,000.00",Ashley Finance,"£1,000.00",0.00%,Outbound Marketing,GC Data,,"Construction, Professional & Other Private Services",Funding Bay,False,Jan18,2018.0,Q1,3,True,18-01,lead_QKjbGeirvLFAGCtO84qVlcuqXqWqQ2O0MAu70Dx1MfY
,,,25/01/2018,Sam Sandhu,,Sam Sandhu,False,False,Urban Creation Management Limited,Lender,New Business,Business Loan (Unsecured),"£20,000.00",Simply Business Loans,£400.00,0.00%,Partner Referral,,GC,Property,Funding Bay,False,Jan18,2018.0,Q1,4,True,18-01,lead_uIpv3UgrIMGQhmRhlcCdTwNmXZmI1cZgcaIXZkRcaqq
,,,02/02/2018,Sam Sandhu,,,False,False,Hunter Products Ltd,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Ultimate Business Finance Ltd,"£1,105.59",0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Feb18,2018.0,Q1,5,True,18-02,lead_uIpv3UgrIMGQhmRhlcCdTwNmXZmI1cZgcaIXZkRcaqq
,,,21/02/2018,Sam Sandhu,,Sam Sandhu,False,False,Con-fused Electric limited,Lender,New Business,Business Loan (Unsecured),"£45,000.00",Simply Business Loans,"£1,350.00",0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Feb18,2018.0,Q1,8,True,18-02,lead_OeEaUmh1BMDH3WfpP3eOioMClrEGEjuZZhZlcw0HdfB
,,,28/02/2018,Sam Sandhu,,Sam Sandhu,False,False,Capital Living London Limited,Lender,New Business,Business Loan (Unsecured),"£200,000.00",Lending Crowd,"£2,000.00",0.00%,Partner Referral,,Supper Club,Property,Funding Bay,False,Feb18,2018.0,Q1,9,True,18-02,lead_OeEaUmh1BMDH3WfpP3eOioMClrEGEjuZZhZlcw0HdfB
,,,03/03/2018,Sam Sandhu,,,False,False,Hunter Products Ltd,Lender,New Business,Receivables Finance,"£100,000.00",Ultimate Business Finance Ltd,"£2,000.00",0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Mar18,2018.0,Q1,9,True,18-03,lead_AxvTIlsBpY0gM5mERKw1Ut1spBPiPJ8YEaj7TuizczD
,,,05/03/2018,Sam Sandhu,,Sam Sandhu,False,False,SHINE CREATIVE SOLUTIONS LIMITED,Lender,New Business,Business Loan (Unsecured),"£50,000.00",Boost Capital,"£5,544.00",0.00%,Outbound Marketing,GC Data,,Marketing,Funding Bay,False,Mar18,2018.0,Q1,10,True,18-03,lead_AxvTIlsBpY0gM5mERKw1Ut1spBPiPJ8YEaj7TuizczD
,,,07/03/2018,Sam Sandhu,,,False,False,CORE LEARNING SERVICES LTD,Lender,New Business,Receivables Finance,"£15,000.00",GapCap,£522.46,0.00%,Outbound Marketing,GC Data,,Education,Funding Bay,False,Mar18,2018.0,Q1,10,True,18-03,lead_FcjTUgWZGg79rP5Fru4bjolJZXbylE72EPrQhsjVC62
,,,08/03/2018,Sam Sandhu,,Sam Sandhu,False,False,Callaghan Green limited,Lender,New Business,Business Loan (Unsecured),"£100,000.00",Funding Circle Ltd,"£5,000.00",0.00%,Outbound Marketing,GC Data,,"Construction, Professional & Other Private Services",Funding Bay,False,Mar18,2018.0,Q1,10,True,18-03,lead_8JuEvfhH86lQKbXt3mGeRVI0Mhg99L0Y8D6ikLj8as9
,,,16/03/2018,Sam Sandhu,,Sam Sandhu,False,False,SHINE CREATIVE SOLUTIONS LIMITED,Lender,Existing Business,Business Loan (Unsecured),"£45,000.00",Iwoca Ltd,"£2,250.00",0.00%,Outbound Marketing,GC Data,,Marketing,Funding Bay,False,Mar18,2018.0,Q1,11,True,18-03,lead_tDhLX6rLlzv4Zej9b2GJSdyQFmlGvyq80x0ziXheu9n
,,,28/03/2018,Sam Sandhu,,,False,False,Global Express Security Services Ltd,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Market Finance,£385.57,0.00%,Partner Referral,,GC,Private Security,Funding Bay,False,Mar18,2018.0,Q1,13,True,18-03,lead_tDhLX6rLlzv4Zej9b2GJSdyQFmlGvyq80x0ziXheu9n
,,,28/03/2018,Sam Sandhu,,,False,False,Global Express Security Services Ltd,Lender,New Business,Receivables Finance,"£100,000.00",Market Finance,£359.19,0.00%,Partner Referral,,GC,Private Security,Funding Bay,False,Mar18,2018.0,Q1,13,True,18-03,lead_AJwEY59PnaFCxI8MrjoptSsSHo5mad8HZ74jKfKYU6h
,,,28/03/2018,Sam Sandhu,,Sam Sandhu,False,False,Viral Brands Ltd,Lender,New Business,Business Loan (Unsecured),"£50,000.00",Funding Circle Ltd,£750.00,0.00%,Outbound Marketing,GC Data,,E-Commerce,Funding Bay,False,Mar18,2018.0,Q1,13,True,18-03,NOT FOUND
,,,09/04/2018,Sam Sandhu,,Sam Sandhu,False,False,Regent Park Golf Course Ltd,Lender,New Business,Business Loan (Unsecured),"£80,000.00",Crowd2Fund,"£1,040.00",0.00%,Outbound Marketing,Hashtag Events Services March 2018,,Sports,Funding Bay,False,Apr18,2018.0,Q1,15,True,18-04,lead_IcSKReYWypDzFOwAcDmmRbZHYkHvQBfiMAP5c40hHuO
,,,25/04/2018,Sam Sandhu,,Sam Sandhu,False,False,Analogue Spirits t/as Little Bird Gin,Lender,New Business,Business Loan (Unsecured),"£15,000.00",Infund,£600.00,0.00%,Partner Referral,,GC,Food and Beverage,Funding Bay,False,Apr18,2018.0,Q2,17,True,18-04,NOT FOUND
,,,25/04/2018,Sam Sandhu,,,False,False,CORE LEARNING SERVICES LTD,Lender,Recurring Revenue,Receivables Finance,"£15,000.00",GapCap,£10.24,0.00%,Outbound Marketing,GC Data,,Education,Funding Bay,False,Apr18,2018.0,Q2,17,True,18-04,NOT FOUND
,,,26/04/2018,Sam Sandhu,,Sam Sandhu,False,False,Viral Brands Ltd,Lender,Existing Business,Business Loan (Unsecured),"£100,000.00",Lending Crowd,"£5,000.00",0.00%,Outbound Marketing,GC Data,,E-Commerce,Funding Bay,False,Apr18,2018.0,Q2,17,True,18-04,lead_AJwEY59PnaFCxI8MrjoptSsSHo5mad8HZ74jKfKYU6h
,,,29/05/2018,Sam Sandhu,,Sam Sandhu,False,False,Wiseman Lighting Limited,Lender,New Business,Business Loan (Unsecured),"£50,000.00",Funding Guru,£900.00,0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,May18,2018.0,Q2,22,True,18-05,lead_jrwkuPjMgnXl0IlEGhtUijCGsy5Ok9mtScs7smPSIp3
,,,01/06/2018,Sam Sandhu,,Sam Sandhu,False,False,ELO Home Ltd,Lender,New Business,Property Finance,"£1,200,000.00",Sirius Property,"£9,009.03",0.00%,Partner Referral,,AF,Property,Funding Bay,False,Jun18,2018.0,Q2,22,True,18-06,lead_jrwkuPjMgnXl0IlEGhtUijCGsy5Ok9mtScs7smPSIp3
,,,11/06/2018,Sam Sandhu,,,False,False,PLANKS CLOTHING LTD,Lender,New Business,Receivables Finance,"£100,000.00",Bibby Financial Services (UK) Ltd,"£1,200.00",0.00%,Partner Referral,,GC,Retail,Funding Bay,False,Jun18,2018.0,Q2,24,True,18-06,lead_VzIKcNJmzC8od1mKtwIjJyCBId6beIw06bqZJcryYiN
,,,29/06/2018,Sam Sandhu,,Sam Sandhu,False,False,EUROPEAN MEDICAL GROUP LIMITED,Lender,New Business,Business Loan (Unsecured),"£75,000.00",Boost Capital,"£5,960.00",0.00%,Outbound Marketing,MARKET INVOICE,,Publishing,Funding Bay,False,Jun18,2018.0,Q2,26,True,18-06,lead_VzIKcNJmzC8od1mKtwIjJyCBId6beIw06bqZJcryYiN
,,,01/07/2018,Sam Sandhu,,,False,False,Hunter Products Ltd,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Ultimate Business Finance Ltd,£166.75,0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Jul18,2018.0,Q2,27,True,18-07,lead_jrwkuPjMgnXl0IlEGhtUijCGsy5Ok9mtScs7smPSIp3
,,,08/07/2018,Sam Sandhu,,,False,False,Hunter Products Ltd,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Ultimate Business Finance Ltd,£347.67,0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Jul18,2018.0,Q3,28,True,18-07,lead_WifutdVVGKZjjSbl81Qag9LVftBO3nGct5yyDrjGLSR
,,,11/07/2018,Sam Sandhu,,,False,False,Hunter Products Ltd,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Ultimate Business Finance Ltd,£346.33,0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Jul18,2018.0,Q3,28,True,18-07,lead_WifutdVVGKZjjSbl81Qag9LVftBO3nGct5yyDrjGLSR
,,,12/07/2018,Sam Sandhu,,,False,False,Hunter Products Ltd,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Ultimate Business Finance Ltd,£182.06,0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Jul18,2018.0,Q3,28,True,18-07,lead_QFkwsLW6M46WC35tNWnXW37v2EFOTPb7PRBz3bdVMc0
,,,12/07/2018,Sam Sandhu,,,False,False,PLANKS CLOTHING LTD,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Bibby Financial Services (UK) Ltd,£134.45,0.00%,Partner Referral,,GC,Retail,Funding Bay,False,Jul18,2018.0,Q3,28,True,18-07,lead_QFkwsLW6M46WC35tNWnXW37v2EFOTPb7PRBz3bdVMc0
,,,01/08/2018,Sam Sandhu,,Sam Sandhu,False,False,Prospect Commercials Ltd,Lender,New Business,Business Loan (Secured),"£520,000.00",Accredo,"£26,000.00",0.00%,Partner Referral,,GC,Logistics and Distribtion,Funding Bay,False,Aug18,2018.0,Q3,31,True,18-08,lead_jrwkuPjMgnXl0IlEGhtUijCGsy5Ok9mtScs7smPSIp3
,,,02/08/2018,Sam Sandhu,,,False,False,Edgenexus Limited,Lender,New Business,Receivables Finance,"£10,000.00",Inksmoor,£34.48,0.00%,Outbound Marketing,GC Data,,IT,Funding Bay,False,Aug18,2018.0,Q3,31,True,18-08,lead_jrwkuPjMgnXl0IlEGhtUijCGsy5Ok9mtScs7smPSIp3
,,,08/08/2018,Sam Sandhu,,,False,False,Go Groundworks,Lender,New Business,Receivables Finance,"£100,000.00",Market Finance,£574.54,0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Aug18,2018.0,Q3,32,True,18-08,lead_VzIKcNJmzC8od1mKtwIjJyCBId6beIw06bqZJcryYiN
,,,10/08/2018,Sam Sandhu,,,False,False,Hunter Products Ltd,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Ultimate Business Finance Ltd,£457.72,0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Aug18,2018.0,Q3,32,True,18-08,lead_VzIKcNJmzC8od1mKtwIjJyCBId6beIw06bqZJcryYiN
,,,14/08/2018,Ned Barker,,Ned Barker,False,False,Kirk Eyewear,Lender,New Business,Business Loan (Unsecured),"£25,000.00",Boost Capital,"£1,280.00",0.00%,Outbound Marketing,GC Data,,Fashion Retail,Funding Bay,False,Aug18,2018.0,Q3,33,True,18-08,lead_FAPUVg6TzKMaRFheyG0w0UnjuX3uPxCEjneBi0Ic7sp
,,,14/08/2018,Sam Sandhu,,Sam Sandhu,False,False,L F MARKEY LTD,Lender,Existing Business,Business Loan (Unsecured),"£20,000.00",Infund,£800.00,0.00%,Outbound Marketing,GC Data,,Fashion Retail,Funding Bay,False,Aug18,2018.0,Q3,33,True,18-08,lead_xxkqrfEinRBZfkCuLOL4yF7ADGW9NmUHjqPggYJz2Ge
,,,29/08/2018,Sam Sandhu,,Sam Sandhu,False,False,MOTION IMPOSSIBLE LTD,Lender,New Business,Business Loan (Unsecured),"£40,000.00",Boost Capital,"£2,030.00",0.00%,Outbound Marketing,GC Data,,Manufacturing,Funding Bay,False,Aug18,2018.0,Q3,35,True,18-08,lead_xxkqrfEinRBZfkCuLOL4yF7ADGW9NmUHjqPggYJz2Ge
,,,03/09/2018,Ned Barker,,Ned Barker,False,False,Kirk Eyewear,Lender,Existing Business,Business Loan (Unsecured),"£25,000.00",Boost Capital,"£1,260.00",0.00%,Outbound Marketing,GC Data,,Fashion Retail,Funding Bay,False,Sep18,2018.0,Q3,36,True,18-09,lead_dQJ2zFm1uqjrCx8zx1bNy0Z8J3WHkoQn0a1uN6WulLl
,,,09/09/2018,Sam Sandhu,,,False,False,Go Groundworks,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Market Finance,£773.29,0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Sep18,2018.0,Q3,37,True,18-09,lead_dQJ2zFm1uqjrCx8zx1bNy0Z8J3WHkoQn0a1uN6WulLl
,,,09/09/2018,Sam Sandhu,,,False,False,Hunter Products Ltd,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Ultimate Business Finance Ltd,£536.23,0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Sep18,2018.0,Q3,37,True,18-09,lead_6UuCHfHDthDpm32bVadASavBQmYl48QwYxHvLQalSI5
,,,14/09/2018,Sam Sandhu,,Sam Sandhu,False,False,L F MARKEY LTD,Lender,Existing Business,Business Loan (Unsecured),"£20,000.00",Fleximize,"£1,000.00",0.00%,Outbound Marketing,GC Data,,Fashion Retail,Funding Bay,False,Sep18,2018.0,Q3,37,True,18-09,lead_6UuCHfHDthDpm32bVadASavBQmYl48QwYxHvLQalSI5
,,,10/10/2018,Sam Sandhu,,,False,False,Go Groundworks,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Market Finance,£445.16,0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Oct18,2018.0,Q3,41,True,18-10,lead_6UuCHfHDthDpm32bVadASavBQmYl48QwYxHvLQalSI5
,,,24/10/2018,Sam Sandhu,,Sam Sandhu,False,False,TOTS TO TRAVEL LIMITED,Lender,New Business,Business Loan (Unsecured),"£100,000.00",Iwoca Ltd,"£5,000.00",0.00%,Partner Referral,,Supper Club,Travel,Funding Bay,False,Oct18,2018.0,Q4,43,True,18-10,lead_VzIKcNJmzC8od1mKtwIjJyCBId6beIw06bqZJcryYiN
,,,24/10/2018,Joseph Babalola,,Joseph Babalola,False,False,CORE LEARNING SERVICES LTD,Lender,Existing Business,Business Loan (Unsecured),"£381,000.00",Funding Circle Ltd,"£19,250.00",0.00%,Outbound Marketing,GC Data,,Education,Funding Bay,False,Oct18,2018.0,Q4,43,True,18-10,lead_VzIKcNJmzC8od1mKtwIjJyCBId6beIw06bqZJcryYiN
,,,24/10/2018,Sam Sandhu,,,False,False,L F MARKEY LTD,Lender,Recurring Revenue,Receivables Finance,"£50,000.00",GapCap,£500.00,0.00%,Outbound Marketing,GC Data,,Fashion Retail,Funding Bay,False,Oct18,2018.0,Q4,43,True,18-10,lead_GFAhDP3tqexXULBzaTQqNUedaQOFba4UnfGuitfXYvo
,,,01/11/2018,Sam Sandhu,,Sam Sandhu,False,False,Geoffrey J Finch Ltd,Lender,New Business,Business Loan (Unsecured),"£10,000.00",Infund,£400.00,0.00%,Outbound Marketing,GC Data,,Retail,Funding Bay,False,Nov18,2018.0,Q4,44,True,18-11,lead_GFAhDP3tqexXULBzaTQqNUedaQOFba4UnfGuitfXYvo
,,,05/11/2018,Sam Sandhu,,Sam Sandhu,False,False,L F MARKEY LTD,Lender,New Business,Business Loan (Unsecured),"£15,000.00",Infund,£600.00,0.00%,Outbound Marketing,GC Data,,Fashion Retail,Funding Bay,False,Nov18,2018.0,Q4,45,True,18-11,lead_GFAhDP3tqexXULBzaTQqNUedaQOFba4UnfGuitfXYvo
,,,07/11/2018,Joseph Babalola,,Joseph Babalola,False,False,EVEREST ICES (LONDON) LIMITED,Lender,New Business,Business Loan (Unsecured),"£40,000.00",Funding Circle Ltd,"£2,200.00",0.00%,Outbound Marketing,GC Data,,Food and Beverage,Funding Bay,False,Nov18,2018.0,Q4,45,True,18-11,lead_GFAhDP3tqexXULBzaTQqNUedaQOFba4UnfGuitfXYvo
,,,08/11/2018,Sam Sandhu,,,False,False,Edgenexus Limited,Lender,Recurring Revenue,Receivables Finance,"£10,000.00",Inksmoor,£9.95,0.00%,Outbound Marketing,GC Data,,IT,Funding Bay,False,Nov18,2018.0,Q4,45,True,18-11,lead_06WqMKn0znD2UHCWuzJfX3P8pO2iJuINYOR4DMFVonC
,,,11/11/2018,Sam Sandhu,,,False,False,Go Groundworks,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Market Finance,£139.63,0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Nov18,2018.0,Q4,46,True,18-11,lead_scjBX3FfjMYcakyFEEMU37L4RAzRdzemivG2sfnyRPJ
,,,27/11/2018,Joseph Babalola,,Joseph Babalola,False,False,GRIFF SERVICES LTD,Lender,New Business,Business Loan (Unsecured),"£18,000.00",Iwoca Ltd,£900.00,0.00%,Outbound Marketing,GC Data,,Science & Tech,Funding Bay,False,Nov18,2018.0,Q4,48,True,18-11,lead_CeFlWnbHyzx2sNlwGzeWSmnw4hqpxmrEmbAVWnHBFZX
,,,29/11/2018,Ned Barker,,Ned Barker,False,False,Right Events Services Limited,Lender,New Business,Business Loan (Unsecured),"£3,125.00",Iwoca Ltd,£125.00,0.00%,Outbound Marketing,Hashtag Events Services March 2018,,Events Services,Funding Bay,False,Nov18,2018.0,Q4,48,True,18-11,lead_CxqhPYhP3orCnT0XDZqoH1l3MXDs9QOFlixMejmYWN5
,,,01/12/2018,Sam Sandhu,,,False,False,CORE LEARNING SERVICES LTD,Lender,Recurring Revenue,Receivables Finance,"£15,000.00",GapCap,£82.22,0.00%,Outbound Marketing,GC Data,,Education,Funding Bay,False,Dec18,2018.0,Q4,48,True,18-12,lead_iUs0Q80wlXYlTKKOGpmWnkr5o6vVk8HZVoxcdeZPH5a
,,,01/12/2018,Alex Fenton,,,False,False,Kat Maconie Ltd,Lender,New Business,Receivables Finance,"£50,000.00",GapCap,£750.00,0.00%,Outbound Marketing,GC Data,,Fashion Retail,Funding Bay,False,Dec18,2018.0,Q4,48,True,18-12,lead_26jnB8nH9XWdI8F7hilXmYXj05bi7VUoYFpCuY26gcZ
,,,01/12/2018,Sam Sandhu,,,False,False,L F MARKEY LTD,Lender,Recurring Revenue,Receivables Finance,"£50,000.00",GapCap,£13.31,0.00%,Outbound Marketing,GC Data,,Fashion Retail,Funding Bay,False,Dec18,2018.0,Q4,48,True,18-12,lead_Msph4MarqayomYehdneURcwRY0SMzmc7Yh8Nuf6rKAY
,,,07/12/2018,Sam Sandhu,,,False,False,Edgenexus Limited,Lender,Recurring Revenue,Receivables Finance,"£10,000.00",Inksmoor,£114.77,0.00%,Outbound Marketing,GC Data,,IT,Funding Bay,False,Dec18,2018.0,Q4,49,True,18-12,lead_3jBU17VXkAuvoKpy4A2nx6PHCzwFfA0czhmjXPQO6uX
,,,11/12/2018,Sam Sandhu,,Sam Sandhu,False,False,AWALLSZ Ltd,Lender,New Business,Business Loan (Unsecured),"£80,000.00",Crowd2Fund,"£1,440.00",0.00%,Partner Referral,,GC,Manufacturing,Funding Bay,False,Dec18,2018.0,Q4,50,True,18-12,lead_j1hQ6AeiOOifGKW4qbmQYn6LoGLDQdjBPmJ444oqjmb
,,,12/12/2018,Sam Sandhu,,,False,False,Go Groundworks,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Market Finance,£250.00,0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Dec18,2018.0,Q4,50,True,18-12,lead_TA9rK05jbBcrytBg46ntLCd2a9nZm2g1C6NxVsEmbml
,,,12/12/2018,Sam Sandhu,,Sam Sandhu,False,False,SHINE CREATIVE SOLUTIONS LIMITED,Lender,Existing Business,Business Loan (Secured),"£90,000.00",Invocap,"£3,600.00",0.00%,Outbound Marketing,GC Data,,Marketing,Funding Bay,False,Dec18,2018.0,Q4,50,True,18-12,lead_MV3DRenmvzMJ0f74aMneX5iZT2b66j6UUkl8gh8lXcX
,,,12/12/2018,Joseph Babalola,,Joseph Babalola,False,False,THE NAIL STATION LIMITED,Lender,New Business,Business Loan (Unsecured),"£10,000.00",Infund,£400.00,0.00%,Outbound Marketing,Just Cashflow,,Beauty,Funding Bay,False,Dec18,2018.0,Q4,50,True,18-12,lead_MV3DRenmvzMJ0f74aMneX5iZT2b66j6UUkl8gh8lXcX
,,,20/12/2018,Mikhail Bolus,,Mikhail Bolus,False,False,POWER PET BRANDS LIMITED,Lender,New Business,Business Loan (Unsecured),"£30,000.00",Funding Circle Ltd,"£1,650.00",0.00%,Outbound Marketing,GC Data,,Retail,Funding Bay,False,Dec18,2018.0,Q4,51,True,18-12,lead_aEy0ootELNlGmsuHl0BPbQmMATkqd5UtmTKNDSLyFoM
,,,20/12/2018,Sam Sandhu,,Sam Sandhu,False,False,Roantree Incentive Marketing Ltd,Lender,New Business,Business Loan (Unsecured),"£80,000.00",Funding Circle Ltd,"£4,400.00",0.00%,Outbound Marketing,Hashtag Events Services March 2018,,Marketing,Funding Bay,False,Dec18,2018.0,Q4,51,True,18-12,lead_SRXWU3AlmSbpNA5LOogAHYdpjmOkIrqMlLYtmtEvjcw
,,,21/12/2018,Sam Sandhu,,Sam Sandhu,False,False,Callaghan Green limited,Lender,Existing Business,Business Loan (Unsecured),"£120,000.00",Funding Circle Ltd,"£5,400.00",0.00%,Outbound Marketing,GC Data,,"Construction, Professional & Other Private Services",Funding Bay,False,Dec18,2018.0,Q4,51,True,18-12,lead_SRXWU3AlmSbpNA5LOogAHYdpjmOkIrqMlLYtmtEvjcw
,,,01/01/2019,Sam Sandhu,,,False,False,Global Express Security Services Ltd,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Market Finance,£137.50,0.00%,Partner Referral,,GC,Private Security,Funding Bay,False,Jan19,2019.0,Q4,True,True,19-01,lead_P1taALUZ4CWVofKyKMPpcB17kZnYhgT2u8s2Vuf8LWN
,,,01/01/2019,Sam Sandhu,,,False,False,Go Groundworks,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Market Finance,£250.00,0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Jan19,2019.0,Q1,True,True,19-01,lead_P1taALUZ4CWVofKyKMPpcB17kZnYhgT2u8s2Vuf8LWN
,,,03/01/2019,Mikhail Bolus,,,False,False,Curated Digital LTD,Lender,New Business,Receivables Finance,"£100,000.00",Market Finance,£182.50,0.00%,Partner Referral,,GC,Marketing,Funding Bay,False,Jan19,2019.0,Q1,True,True,19-01,NOT FOUND
,,,04/01/2019,Mikhail Bolus,,,False,False,Blackburn & Co LTD,Lender,New Business,Receivables Finance,"£50,000.00",Satago,£13.57,0.00%,Outbound Marketing,GC Data,,Property,Funding Bay,False,Jan19,2019.0,Q1,True,True,19-01,lead_vdfnWhlvNlUHnIT7OMXp1EbhHexz9TUr2ZKrWnBVtki
,,,07/01/2019,Joseph Babalola,,Joseph Babalola,False,False,Global Wholesale LTD,Lender,New Business,Business Loan (Unsecured),"£50,000.00",Ultimate Business Finance Ltd,"£3,600.00",0.00%,Self Generated,,,Retail,Funding Bay,False,Jan19,2019.0,Q1,2,True,19-01,lead_vdfnWhlvNlUHnIT7OMXp1EbhHexz9TUr2ZKrWnBVtki
,,,08/01/2019,Sam Sandhu,,,False,False,Hunter Products Ltd,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Ultimate Business Finance Ltd,£715.71,0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Jan19,2019.0,Q1,2,True,19-01,lead_qhFIcHeWxZJ2zYpKmrZcMd9p8jdlrREADaSTOUXRgGs
,,,08/01/2019,Sam Sandhu,,,False,False,PLANKS CLOTHING LTD,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Bibby Financial Services (UK) Ltd,£100.00,0.00%,Partner Referral,,GC,Retail,Funding Bay,False,Jan19,2019.0,Q1,2,True,19-01,lead_2t0bUEEB7kwQk8lnYAMrGdTzjVyXbnf6BDyLBlLlePC
,,,08/01/2019,Joseph Babalola,,,False,False,D J WILLRICH LIMITED,Lender,Recurring Revenue,Receivables Finance,"£72,328.00",Satago,£408.33,0.00%,Outbound Marketing,Ebury data,,Engineering,Funding Bay,False,Jan19,2019.0,Q1,2,True,19-01,NOT FOUND
,,,09/01/2019,Sam Sandhu,,,False,False,Hunter Products Ltd,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Ultimate Business Finance Ltd,£297.57,0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Jan19,2019.0,Q1,2,True,19-01,lead_RPLOuJYoJooN2wDWmgjOtOlnO7hUTnayxY8Xj3dtbVf
,,,09/01/2019,Sam Sandhu,,,False,False,PLANKS CLOTHING LTD,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Bibby Financial Services (UK) Ltd,£100.00,0.00%,Partner Referral,,GC,Retail,Funding Bay,False,Jan19,2019.0,Q1,2,True,19-01,lead_rLK6s3hIccziOQzUJJ9RHJs8be5D1DDXl3omLCteRot
,,,10/01/2019,Sam Sandhu,,,False,False,Hunter Products Ltd,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Ultimate Business Finance Ltd,£369.00,0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Jan19,2019.0,Q1,2,True,19-01,lead_rLK6s3hIccziOQzUJJ9RHJs8be5D1DDXl3omLCteRot
,,,10/01/2019,Sam Sandhu,,,False,False,PLANKS CLOTHING LTD,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Bibby Financial Services (UK) Ltd,£105.72,0.00%,Partner Referral,,GC,Retail,Funding Bay,False,Jan19,2019.0,Q1,2,True,19-01,NOT FOUND
,,,10/01/2019,Neil Cassule,,,False,False,ECN INVESTMENTS LTD,Lender,New Business,Receivables Finance,"£1,000.00",CASHBOOK Finance LIMITED,£223.47,0.00%,Outbound Marketing,MVF,,Retail,Funding Bay,False,Jan19,2019.0,Q1,2,True,19-01,lead_2t0bUEEB7kwQk8lnYAMrGdTzjVyXbnf6BDyLBlLlePC
,,,11/01/2019,Sam Sandhu,,,False,False,Hunter Products Ltd,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Ultimate Business Finance Ltd,£591.44,0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Jan19,2019.0,Q1,2,True,19-01,lead_9HO8ApFfPW22GHpjx77VWR5ol9oI86ZPgCMfb4DtOZQ
,,,11/01/2019,Sam Sandhu,,,False,False,PLANKS CLOTHING LTD,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Bibby Financial Services (UK) Ltd,£100.00,0.00%,Partner Referral,,GC,Retail,Funding Bay,False,Jan19,2019.0,Q1,2,True,19-01,lead_9HO8ApFfPW22GHpjx77VWR5ol9oI86ZPgCMfb4DtOZQ
,,,12/01/2019,Sam Sandhu,,,False,False,Hunter Products Ltd,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Ultimate Business Finance Ltd,"£1,379.52",0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Jan19,2019.0,Q1,2,True,19-01,lead_2t0bUEEB7kwQk8lnYAMrGdTzjVyXbnf6BDyLBlLlePC
